factor_name,horizon,period,universe,n_days,ic_mean,ic_std,icir,rank_ic_mean,pos_ic_ratio,t_stat,p_value,ci_low,ci_high,partial_ic_mean,partial_ic_std,partial_icir,partial_t_stat,partial_p_value,partial_ci_low,partial_ci_high
liquidity,1,post_event,theme_core,47,-0.016904127996520562,0.13069989303307145,-0.12933543864678795,-0.0189115320545431,0.425531914893617,-0.886679094953739,0.3798640347233657,-0.05427062401716816,0.02046236802412704,,,,,,,
liquidity,1,post_event_extended,theme_core,102,-0.0013096034824555604,0.11184371766870194,-0.011709227033518366,0.005735041320794609,0.47058823529411764,-0.11825739624942147,0.9060985857954944,-0.02301499280287581,0.020395785837964687,,,,,,,
liquidity,1,pre_event,theme_core,150,-0.004636663248517534,0.10665658236910613,-0.043472827888591505,0.0024030317237068283,0.49333333333333335,-0.5324312300144168,0.5952204501145952,-0.021705271276728597,0.01243194477969353,,,,,,,
liquidity,2,post_event,theme_core,47,-0.01049828528879123,0.1376360493498881,-0.07627569476440924,-0.012077186262481176,0.48936170212765956,-0.522919817710408,0.6035398580353313,-0.049847796378512665,0.028851225800930205,,,,,,,
liquidity,2,post_event_extended,theme_core,101,0.00034425110878779676,0.11174938921531966,0.003080563672025901,0.0023766089689137696,0.45544554455445546,0.030959281746803752,0.9753637187173925,-0.021449929348701054,0.02213843156627665,,,,,,,
liquidity,2,pre_event,theme_core,150,0.009556239342641758,0.11168405517712243,0.08556493876844182,0.007427254258477887,0.5466666666666666,1.0479521992758447,0.29635754359148536,-0.008316931899825979,0.027429410585109497,,,,,,,
liquidity,3,post_event,theme_core,47,-0.0016922375716785156,0.12098071302193565,-0.013987664061557374,0.006494199559106641,0.5106382978723404,-0.09589459347248018,0.9240208452079692,-0.03628006489733209,0.03289558975397506,,,,,,,
liquidity,3,post_event_extended,theme_core,100,-0.0011615580649768267,0.11382555489936715,-0.010204721303610222,-0.00020112517580872237,0.49,-0.1020472130361022,0.9189256070972385,-0.023471366825252787,0.021148250695299135,,,,,,,
liquidity,3,pre_event,theme_core,150,0.01182358955802707,0.11708277173003093,0.10098487918692141,0.010220190654789813,0.5533333333333333,1.2368071287228122,0.21810455534201978,-0.006913556271382815,0.030560735387436956,,,,,,,
liquidity,5,post_event,theme_core,47,0.004241008390194377,0.13076132872373994,0.03243320048509429,0.007957526608213389,0.5319148936170213,0.2223508201113661,0.8250250919835029,-0.0331430518107874,0.04162506859117615,,,,,,,
liquidity,5,post_event_extended,theme_core,98,0.00923188641977834,0.1140998792315249,0.08091057135166224,0.011828219332740128,0.5204081632653061,0.8009737914141373,0.4251044135098223,-0.013358737114631326,0.031822509954188005,,,,,,,
liquidity,5,pre_event,theme_core,150,0.003917390833190461,0.11513130748492628,0.03402541774923689,0.0008595092983278615,0.5266666666666666,0.41672455885334225,0.677479613541832,-0.01450745567496902,0.022342237341349942,,,,,,,
liquidity,10,post_event,theme_core,47,0.0076415842815575055,0.1134231494971444,0.0673723513712683,0.01226272057136587,0.5319148936170213,0.46188157061827106,0.646343293880693,-0.02478557052309066,0.040068739086205674,,,,,,,
liquidity,10,post_event_extended,theme_core,93,0.014808368364799188,0.10296578933082141,0.143818334818189,0.013263413134108662,0.5053763440860215,1.386933794014168,0.16881316355851061,-0.006118659385387649,0.03573539611498602,,,,,,,
liquidity,10,pre_event,theme_core,150,0.00958059325058677,0.11799117579958676,0.08119754028775704,0.006628848257540242,0.5333333333333333,0.9944627103704238,0.32160989586307576,-0.009301927506934178,0.02846311400810772,,,,,,,
liquidity,20,post_event,theme_core,47,0.01728040424714437,0.10161192731253861,0.1700627544834692,0.015460194910773967,0.6170212765957447,1.1658915051314687,0.24966796010329095,-0.011769976663370752,0.046330785157659496,,,,,,,
liquidity,20,post_event_extended,theme_core,83,0.011872761442338951,0.1127313400725018,0.10531908371445889,0.010150023441162682,0.5421686746987951,0.9595025167969158,0.3401263240515209,-0.012380027914241446,0.03612555079891935,,,,,,,
liquidity,20,pre_event,theme_core,150,0.0018742740481537486,0.11579310632638165,0.01618640442092298,-0.00023097358962338,0.46,0.1982421580079556,0.8431258255587248,-0.01665648233230254,0.020405030428610034,,,,,,,
liquidity,40,post_event,theme_core,47,0.029850094130292784,0.08896619272209277,0.3355217663808173,0.021483077475536405,0.6595744680851063,2.300221341223335,0.02602177461070454,0.004415070358076888,0.05528511790250868,,,,,,,
liquidity,40,post_event_extended,theme_core,63,0.006001396898216374,0.11121959197585124,0.05395988954463561,0.009236562260472245,0.6031746031746031,0.42829334552286047,0.6699218088199181,-0.021462812021826837,0.03346560581825958,,,,,,,
liquidity,40,pre_event,theme_core,150,0.004221244952429203,0.11293535337473538,0.03737753348521892,-0.0014386622909829676,0.5066666666666667,0.45777942441289254,0.647777780205546,-0.013852175707252647,0.022294665612111055,,,,,,,
