factor_name,rebalance_frequency,top_quantile_cum_gross,bottom_quantile_cum_gross,top_quantile_cum_net,bottom_quantile_cum_net,top_quantile_annualized,top_bottom_spread_gross,top_bottom_spread_net,mean_turnover,max_drawdown_avg,sharpe_top
beta,1,118.57040100824135,45.14812718360896,118.5699956848481,45.14797074927952,242.9265461390716,73.42227382463238,73.42202493556857,0.003389830508474576,-0.7275596330302525,3.210974878821649
beta,5,1.9244844211554963,1.275560878536667,1.9244348536229343,1.2755223097082173,2.42275592802059,0.6489235426188293,0.648912543914717,0.01694915254237288,-0.5428591515195695,1.5166743973022512
beta,10,0.8260814262665552,0.1607875439477131,0.8260205568856798,0.16074885102958159,1.0043906721965197,0.6652938823188421,0.6652717058560982,0.03333333333333333,-0.37462091296965977,1.0857848090086482
beta,20,-0.12662627471569243,-0.23447248830831258,-0.12668449963071138,-0.23452352347575867,-0.05465526384675723,0.10784621359262014,0.10783902384504729,0.06666666666666667,-0.3568369357852676,-0.1631880770744994
liquidity,1,436.68913177330893,239.16161129993762,436.34213331333103,238.9714663970927,718.3683115481111,197.5275204733713,197.37066691623832,0.7922033898305085,-0.7054094558328259,3.923705111266977
liquidity,5,0.1495286430215066,2.40757004757138,0.14859830416211217,2.404920517470832,0.5561574615025966,-2.258041404549873,-2.25632221330872,0.8080508474576271,-0.5402529363456147,0.5440178546393881
liquidity,10,0.7427113178334439,0.32497989381558345,0.7413098874820194,0.3239309513996462,0.8859619329867807,0.41773142401786045,0.4173789360823732,0.7920833333333334,-0.4047411811525177,1.0777372775658487
liquidity,20,-0.05624198455437779,0.05612770514495424,-0.05700092329179873,0.05529160404504796,0.03339396891209301,-0.11236968969933203,-0.11229252733684669,0.8008333333333333,-0.3444809977839821,0.07991206655262459
noise_alpha,1,22.03776065171572,43.08234976779452,22.019437822587214,43.04689709836262,58.88706295459584,-21.0445891160788,-21.027459275775406,0.8003389830508475,-0.7318581999542791,2.394288621168385
noise_alpha,5,1.3231294206415485,-0.047911575558977404,1.321246799871643,-0.04865690749294127,1.703017494375405,1.3710409962005259,1.3699037073645843,0.7940677966101695,-0.5717172533194292,1.3004863720687492
noise_alpha,10,0.9509753878229179,0.16095935443396114,0.9494105429806017,0.16002574961977034,0.9967613263950845,0.7900160333889568,0.7893847933608313,0.8041666666666666,-0.44658386704835695,1.2844493664830385
noise_alpha,20,0.3911784135630092,-0.2195424871669004,0.3900538776787126,-0.22015059364564948,0.40356056404908625,0.6107209007299096,0.6102044713243621,0.8033333333333333,-0.3769187396114444,0.8912745231298187
noise_beta,1,125.87367072670644,0.7803308663058557,125.77211803009511,0.7788926456293253,284.3784199677726,125.09333986040058,124.99322538446579,0.8028389830508476,-0.7185335482926117,3.1856185716758483
noise_beta,5,0.6681402581567806,-0.5318527920114661,0.6668149348584569,-0.5322247310008638,1.1015313333679688,1.1999930501682465,1.1990396658593205,0.7900423728813559,-0.5448606258179483,0.9252264815907141
noise_beta,10,0.41330216791481766,-0.32775185913403615,0.4121626930419364,-0.3283036628163303,0.5685179476247568,0.7410540270488538,0.7404663558582667,0.8100000000000002,-0.41164312986711904,0.7681789568513544
noise_beta,20,-0.42181263599394614,-0.37163987967849543,-0.4222896405692511,-0.37216874944643263,-0.33354836505317953,-0.050172756315450706,-0.05012089112281848,0.8333333333333334,-0.3773853233311274,-1.215492982455148
order_or_contract,1,10.994757489861234,,10.99459279000774,,15.869306616989693,,,0.009207479700343215,-0.6266409964320449,2.372814232671896
order_or_contract,5,0.46661318004236785,,0.4665124898132862,,0.6199171047661252,,,0.04603739850171608,-0.5730292309625808,0.8559645156176541
order_or_contract,10,0.24045899496268586,,0.2402915064928317,,0.30460280833444187,,,0.09054021705337495,-0.4846018155470403,0.6322535428398324
order_or_contract,20,-0.1760658991149382,,-0.17628839653303618,,-0.11456961533087018,,,0.1810804341067499,-0.48308363461195303,-0.412723422759557
price_momentum,1,159.16672228053838,277.02994974725596,159.13923912705616,276.9763657933047,667.6576124407994,-117.86322746671757,-117.83712666624854,0.32990909090909093,-0.7532569134732298,3.299027895132372
price_momentum,5,1.6595357209295103,1.8109921091678167,1.6585081730373328,1.8097814659753455,2.9658063536361507,-0.15145638823830643,-0.15127329293801273,0.5693181818181818,-0.5669612088910332,1.3618129642086918
price_momentum,10,1.4072741860312634,3.8585117248469123,1.4058394936034277,3.855692052863742,1.9745337884068825,-2.451237538815649,-2.4498525592603144,0.6879464285714285,-0.4221477919814018,1.3389911650411759
price_momentum,20,0.8271732634208322,0.17520608370620838,0.8256642140738106,0.1742407358517355,0.9616795220489829,0.6519671797146238,0.6514234782220751,0.8151785714285713,-0.37876587787806487,1.2092933874823346
